id	TCGA-04-1514-01A	TCGA-04-1516-01A	TCGA-04-1530-01A	TCGA-04-1536-01A	TCGA-04-1542-01A
ACP2	-0.3423	-0.0899	0.006999999999999999	-0.3732	-0.4225
ACP5	0.6258	-0.6262	0.113	-0.0229	-1.2064
ACP6	0.2819	0.5329	0.2494	0.8477	0.3264
ACPL2	-0.3603	0.7269	0.5134	0.9102	0.385
ACPP	-0.3548	0.7269	0.4635	0.2531	0.2006
ACPT	-0.3808	-0.1324	-0.2936	0.06	-0.5316
ACR	-1.2437	-0.1518	-0.3212	-1.0148	-0.596
ACR1	-0.3351	0.5571	0.006999999999999999	0.1596	0.2908
ACRBP	0.0723	0.5187	0.0525	1.0553	0.5491
ACRP	0.0932	-0.0937	0.0038	0.0906	-0.4837
ACRV1	-1.135	-0.6707	-0.057999999999999996	-0.366	-0.0123
ACSBG1	-0.3727	-0.2478	0.0744	-0.35700000000000004	-0.0308
ACSBG2	0.6074	-0.6262	-0.3035	0.0076	-0.5782
ACSF2	0.4261	-0.0832	0.1525	-0.3335	-0.5258
ACSF3	0.0589	-0.7292	-0.3286	0.138	0.2859
ACSL1	-0.3592	-0.6248	0.1165	-0.9445	0.3702
ACSL3	0.1984	0.2864	-0.0126	-0.9274	0.3317
ACSL5	0.1214	-0.0622	-0.1035	0.1726	0.3295
ACSL6	0.1231	-0.1002	-0.135	0.0526	-0.4441
ACSM1	0.0746	-0.083	0.0173	0.0347	0.4174
ACSM2A	0.0746	-0.083	0.0173	0.0347	0.4174
ACSM2B	0.0746	-0.083	0.0173	0.0347	0.4174
ACSM3	0.0746	-0.083	0.0173	0.0347	0.4174
ACSM4	0.0723	0.5187	0.0525	1.0418	0.5491
ACSM5	0.0746	-0.083	0.0173	0.0347	0.4174
ACSM6	0.1214	-0.0622	-0.1035	-0.1719	0.3295
ACSS1	0.4228	0.1098	-0.0339	0.4516	0.5777
ACSS2	0.4228	0.1098	-0.0339	0.0622	0.2776
ACSS3	0.1361	-0.13	-0.2334	0.3131	-0.4118
ACTA1	0.2805	0.2687	0.0931	-0.2744	0.7663
ACTA2	0.1214	-0.0671	-0.1035	-0.1719	0.3552
ACTB	-0.3203	-0.1174	-0.3072	-0.9631	0.3659
ACTBL2	0.1209	-0.0692	0.0382	-0.371	-0.4346
ACTC1	-0.3445	-0.6555	0.1828	-0.3381	-0.4767
ACTG1	1.0033	-0.0921	0.1525	0.3273	-0.5258
ACTG2	0.0389	-0.1077	0.0536	-0.0184	0.0073
ACTL6A	1.0727	0.2459	0.5643	-0.1459	0.6044
ACTL6B	0.465	0.2751	-0.0043	0.7061	0.2747
ACTL7A	0.0932	-0.0937	0.0038	0.0906	-0.4837
ACTL7B	0.0932	-0.0937	0.0038	0.0906	-0.4837
ACTL8	-0.1935	0.2861	0.0758	-0.3339	-0.5670000000000001
ACTN1	0.4438	-0.6517	-0.171	0.0623	-0.4765
ACTN2	0.2602	-0.095	0.0931	-0.2674	0.8031
ACTN3	-0.3888	0.5571	0.006999999999999999	0.1596	0.2908
ACTN4	0.4901	0.4498	-0.0894	0.298	-0.4985
ACTR10	0.4438	-0.0594	-0.171	0.0963	-0.4596
ACTR1A	0.1214	-0.0622	-0.1035	0.179	0.3295
ACTR1B	0.0193	0.3053	0.1405	0.3618	0.0899
ACTR2	0.0389	-0.0974	0.0536	-0.0184	0.0073
ACTR3	0.0251	0.2738	0.0107	0.3544	-0.0084
ACTR3B	0.4605	0.9874	0.0289	0.9034	0.287
ACTR5	0.4228	-0.6427	0.0037	0.0622	-0.0367
ACTR6	0.1341	-0.0652	-0.2491	0.2827	-0.4676
ACTR8	-0.3978	0.2671	-0.0059	-1.0303	-0.496
ACTRT2	-0.1869	0.2868	0.4519	-0.2449	-0.56
ACVR1	0.1282	0.5870000000000001	0.0011	0.379	0.3873
ACVR1B	0.1091	-0.0872	0.2899	0.2406	-0.4478
ACVR1C	0.1282	0.5870000000000001	0.0011	0.379	0.3873
ACVR2A	0.1197	0.5537	-0.018000000000000002	0.379	0.3873
ACVR2B	0.11699999999999999	0.531	-0.0059	-0.3261	-0.4556
ACVRL1	0.1091	-0.0872	0.2899	0.2406	-0.4478
ACY1	-0.3978	0.2671	-0.0059	-1.0197	-0.496
ACY3	-0.3888	0.5571	0.006999999999999999	0.1596	0.2908
ACYP1	0.4121	-0.0288	-0.1938	0.1118	-0.4765
ACYP2	0.0389	-0.0974	0.0838	-0.0184	0.0073
ADA	0.4228	-0.1194	0.0037	0.0622	-0.0709
ADAD1	-0.3247	-0.6193	-0.1005	-0.9189	-0.4169
ADAD2	0.0589	-0.7292	-0.1518	0.1788	0.2859
ADAL	-0.3898	-0.6555	-0.1719	-0.3381	-0.4442
ADAM10	-0.3653	-0.1185	-0.1806	-0.4922	-0.5287
ADAM11	-0.3776	-0.0928	0.1525	-0.3555	-0.5292
ADAM12	0.0396	-0.0753	-0.1035	0.1726	0.3295
ADAM15	0.2744	0.3896	0.0931	0.8536	0.32799999999999996
ADAM17	0.0006	-0.0959	-0.4055	-0.2946	0.0314
ADAM18	-0.3296	-0.0622	-0.2992	0.125	0.0261
ADAM19	0.0954	-0.1465	-0.135	0.0421	-0.4222
ADAM2	-0.3296	-0.0622	-0.2992	0.125	0.0261
ADAM20	0.4121	-0.6517	-0.1938	0.0623	-0.4765
ADAM21	0.4121	-0.6517	-0.1938	0.0623	-0.4765
ADAM21P	0.4121	-0.6517	-0.1938	0.0623	-0.4765
ADAM22	0.5016	0.2722	-0.0043	0.7939	0.3782
ADAM23	0.1984	0.3743	-0.0126	-0.9274	0.365
ADAM28	-0.318	-0.6646	-0.6553	-0.304	0.0133
ADAM29	-0.3402	-0.6215	0.1165	-0.9445	-0.3964
ADAM30	0.2819	0.3087	0.2025	1.079	0.3264
ADAM32	-0.3199	-0.0881	-0.2992	0.1168	0.0412
ADAM33	0.4436	0.1098	-0.0339	-0.3337	0.5760000000000001
ADAM5P	-1.65	0.16425	-0.2992	-1.0903	0.9933
ADAM6	0.3679	-0.6803	-0.1938	0.1282	-0.3386
ADAM7	-0.318	-0.6646	-0.6553	-0.304	0.0133
ADAM8	-0.0264	-0.1156	-0.3025	0.1726	0.3295
ADAM9	-0.3199	-0.0881	-0.2992	0.1168	0.0412
ADAMDEC1	-0.318	-0.6646	-0.6553	-0.304	0.0133
ADAMTS1	0.4254	0.5156	0.12	0.1893	-0.0146
ADAMTS10	0.6258	-0.6262	-0.3035	-0.0229	-1.1339
ADAMTS12	0.1262	0.2696	0.3142	0.3962	0.3779
ADAMTS13	0.0851	-0.21100000000000002	-0.0114	-1.0917	-0.5823
ADAMTS14	0.0808	-0.0865	0.1449	-0.2418	0.3118
ADAMTS15	-1.1435	-0.6707	-0.1924	-0.3185	0.0179
ADAMTS16	0.4121	0.2863	0.4125	-0.4068	0.3959
ADAMTS17	-0.4099	0.1539	0.0065	-0.3263	-0.0127
ADAMTS18	0.1015	-0.6582	-0.1822	0.2996	0.3368
ADAMTS19	0.1231	-0.1002	-0.135	0.0526	-0.4441
ADAMTS2	0.0375	0.8679	-0.2132	-0.03	-0.066
ADAMTS20	0.1294	0.5156	0.2899	0.2973	-0.4478
ADAMTS3	-0.3295	-0.6525	-0.3807	-0.9145	-0.4049
ADAMTS4	0.2744	0.3896	0.0931	0.8834	0.3244
ADAMTS5	0.4254	0.5457	-0.0052	0.1893	-0.0146
ADAMTS6	0.1234	-0.65	-0.135	-0.371	-0.4346
ADAMTS7	-0.41	-0.2478	0.0744	-0.35700000000000004	-0.0308
ADAMTS8	-1.1435	-0.6707	-0.1924	-0.3185	0.0179
ADAMTS9	-0.3618	0.2671	-0.0059	0.2347	-0.4761
ADAMTSL1	0.0971	0.7927	-0.0998	-0.2253	-0.4275
ADAMTSL2	0.0851	-0.21100000000000002	-0.0114	-1.0917	-0.5823
ADAMTSL3	-0.382	-0.2478	0.0744	-0.35700000000000004	-0.0308
ADAMTSL4	0.2649	0.5329	0.2494	0.8581	0.3037
ADAMTSL5	-1.1519	-0.6262	-0.3035	-0.9961	-0.5782
ADAP1	-0.3203	-0.1174	-0.3072	-0.4352	0.2665
ADAP2	-0.3638	-0.0928	-0.2934	-0.3699	-0.5309
ADAR	0.2744	0.3896	0.0931	0.8536	0.32799999999999996
ADAR2g	0.3463	0.4954	-0.05	0.6391	-0.0982
ADARB1	0.3463	0.4954	-0.05	0.6391	-0.0982
ADARB2	0.0709	-0.1129	0.3455	-0.0062	0.3324
ADAT1	0.1015	-0.6582	-0.1822	0.2996	0.3368
ADAT2	-0.3516	-0.0352	0.13	-0.1416	-0.4833
ADAT3	-1.1519	-0.6262	-0.3035	-0.9961	-0.5782
ADC	-0.1738	-0.0985	0.0941	-0.3285	-0.5359
ADCK1	0.4121	-0.67	-0.1938	0.1118	-0.4765
ADCK2	0.466	0.9975	-0.0304	0.9513	0.3624
ADCK4	-0.3808	0.4498	-0.0894	0.298	-0.4985
ADCK5	-0.3845	0.2894	-0.3072	0.031	0.3949
ADCY1	-0.3115	0.2953	-0.017	0.0397	0.3516
ADCY10	0.2805	0.3896	0.0931	0.8834	0.3244
ADCY2	0.4121	0.2863	0.4125	-0.4068	0.3959
ADCY3	0.0081	-0.0808	0.0983	-0.3062	0.0007
ADCY4	0.4504	0.3658	-0.1679	0.4308	0.0417
ADCY5	-0.3381	0.2667	0.3507	0.1937	0.2006
ADCY6	0.1294	0.5156	0.2899	0.2406	-0.4478
ADCY7	0.1015	-0.083	-0.1701	-0.3489	0.4174
ADCY8	-0.3565	0.2975	-0.3037	0.8252	0.6814
ADCY9	0.0746	-0.6646	0.0173	-0.3731	0.5491
ADCYAP1	-0.3599	0.3129	-0.2804	-0.312	0.8179
ADCYAP1R1	-0.32799999999999996	-0.0951	-0.017	0.0397	0.3516
ADD1	-0.4286	-0.7057	0.1622	-0.3419	-0.5417
ADD2	0.0389	-0.0726	0.0536	-0.0184	0.0073
ADD3	0.1214	-0.0622	-0.1035	0.179	0.3295
ADFP	0.0971	0.7927	-0.0998	-0.2253	-0.4275
ADH1A	-0.3286	-0.6486	-0.3569	-0.9209999999999999	-0.4311
ADH1B	-0.3286	-0.6486	-0.3569	-0.9209999999999999	-0.4311
ADH1C	-0.3286	-0.6486	-0.3569	-0.9209999999999999	-0.4311
ADH4	-0.3286	-0.6486	-0.3569	-0.9209999999999999	-0.4311
ADH5	-0.3286	-0.6486	-0.3569	-0.9209999999999999	-0.4311
ADH6	-0.3286	-0.6486	-0.3569	-0.9209999999999999	-0.4311
ADH7	-0.3286	-0.6486	-0.3569	-0.9209999999999999	-0.4311
ADHFE1	-0.3296	-0.0681	0.2916	0.1022	0.7179
ADI1	-0.044000000000000004	-0.1154	-0.4084	-0.2946	0.0328
ADIG	0.4228	-0.6427	0.0037	0.0622	-0.0367
ADIPOQ	1.6013	0.2459	0.5643	-0.1459	0.6044
ADIPOR1	0.2805	0.2766	0.0931	0.77	0.7663
ADIPOR2	0.0723	0.5187	0.3468	1.0553	0.5491
ADIR	0.2805	0.3896	0.0931	0.7946	0.2999
ADK	0.0808	-0.0865	0.4895	-0.2418	0.2855
ADM	-0.3786	-0.0899	-0.1314	-0.9749	-0.465
